ID_tipologia_torneo;nome;Descrizione del torneo;Note
1;Girone italiana con finale;Ogni partecipante sfida una volta ogni avversario. Ogni partita è composta  3 round, al fine dei 3 round il giocatore con più punti vince. La vittoria da 3 punti, il pareggio 1, la sconfitta 0. La finale verrà giocata dai primi due classificati, seguirà il seguente format: botta secca. Un solo round;Se il divario tra i punteggi finali è <= 15.000 punti la partita è considerata un pareggio. In caso due giocatori arrivano a pari punti, viene premiato il giocatore con più round vinti. Se anche i round vinti sono in parità si guarda al punteggio della partita avvenuta come scontro diretto. 
2;Alla meglio di 3 partite;Il torneo più giocato. Due giocatori si sfidano in una serie di partite alla meglio di 3. Ogni partita è composta da tre round. ;
